,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Card_Category,Income_Category,Credit_Limit
0,768805383,Existing Customer,45,M,High School,Married,Blue,$60K - $80K,12691.0
1,818770008,Existing Customer,49,F,Graduate,Single,Blue,Less than $40K,8256.0
2,713982108,Existing Customer,51,M,Graduate,Married,Blue,$80K - $120K,3418.0
3,769911858,Existing Customer,40,F,High School,Unknown,Blue,Less than $40K,3313.0
4,709106358,Existing Customer,40,M,Uneducated,Married,Blue,$60K - $80K,4716.0
5,713061558,Existing Customer,44,M,Graduate,Married,Blue,$40K - $60K,4010.0
6,810347208,Existing Customer,51,M,Unknown,Married,Gold,$120K +,34516.0
7,818906208,Existing Customer,32,M,High School,Unknown,Silver,$60K - $80K,29081.0
8,710930508,Existing Customer,37,M,Uneducated,Single,Blue,$60K - $80K,22352.0
9,719661558,Existing Customer,48,M,Graduate,Single,Blue,$80K - $120K,11656.0
10,708790833,Existing Customer,42,M,Uneducated,Unknown,Blue,$120K +,6748.0
11,710821833,Existing Customer,65,M,Unknown,Married,Blue,$40K - $60K,9095.0
12,710599683,Existing Customer,56,M,College,Single,Blue,$80K - $120K,11751.0
13,816082233,Existing Customer,35,M,Graduate,Unknown,Blue,$60K - $80K,8547.0
14,712396908,Existing Customer,57,F,Graduate,Married,Blue,Less than $40K,2436.0
15,714885258,Existing Customer,44,M,Unknown,Unknown,Blue,$80K - $120K,4234.0
16,709967358,Existing Customer,48,M,Post-Graduate,Single,Blue,$80K - $120K,30367.0
17,753327333,Existing Customer,41,M,Unknown,Married,Blue,$80K - $120K,13535.0
18,806160108,Existing Customer,61,M,High School,Married,Blue,$40K - $60K,3193.0
19,709327383,Existing Customer,45,F,Graduate,Married,Blue,Unknown,14470.0
20,806165208,Existing Customer,47,M,Doctorate,Divorced,Blue,$60K - $80K,20979.0
21,708508758,Attrited Customer,62,F,Graduate,Married,Blue,Less than $40K,1438.3
22,784725333,Existing Customer,41,M,High School,Married,Blue,$40K - $60K,4470.0
23,811604133,Existing Customer,47,F,Unknown,Single,Blue,Less than $40K,2492.0
24,789124683,Existing Customer,54,M,Unknown,Married,Blue,$80K - $120K,12217.0
25,771071958,Existing Customer,41,F,Graduate,Single,Blue,Less than $40K,7768.0
26,720466383,Existing Customer,59,M,High School,Unknown,Blue,$40K - $60K,14784.0
27,804424383,Existing Customer,63,M,Unknown,Married,Blue,$60K - $80K,10215.0
28,718813833,Existing Customer,44,F,Uneducated,Single,Blue,Unknown,10100.0
29,806624208,Existing Customer,47,M,High School,Married,Blue,$40K - $60K,4785.0
30,778348233,Existing Customer,53,M,Unknown,Married,Blue,$80K - $120K,2753.0
31,712991808,Existing Customer,53,M,Uneducated,Married,Blue,$60K - $80K,2451.0
32,709029408,Existing Customer,41,M,Graduate,Married,Blue,$60K - $80K,8923.0
33,788658483,Existing Customer,53,F,College,Married,Blue,Less than $40K,2650.0
34,787937058,Existing Customer,58,M,Graduate,Married,Blue,$80K - $120K,12555.0
35,715318008,Existing Customer,55,F,College,Single,Blue,Less than $40K,3520.0
36,713962233,Existing Customer,55,F,Graduate,Married,Blue,Less than $40K,3035.0
37,785432733,Existing Customer,42,F,High School,Married,Gold,Less than $40K,15433.0
38,715190283,Existing Customer,57,F,Graduate,Unknown,Blue,$40K - $60K,3672.0
39,708300483,Attrited Customer,66,F,Doctorate,Married,Blue,Unknown,7882.0
40,827111283,Existing Customer,45,M,Graduate,Single,Blue,$80K - $120K,32426.0
41,758551608,Existing Customer,51,M,Unknown,Married,Blue,$40K - $60K,6205.0
42,773146383,Existing Customer,50,F,College,Single,Silver,$40K - $60K,17304.0
43,778493808,Existing Customer,49,M,High School,Married,Blue,$60K - $80K,3906.0
44,720572508,Existing Customer,38,F,Graduate,Single,Blue,Unknown,9830.0
45,712661433,Existing Customer,49,M,Uneducated,Single,Blue,$80K - $120K,34516.0
46,789172683,Existing Customer,56,M,Doctorate,Married,Blue,$60K - $80K,2283.0
47,738406533,Existing Customer,59,M,Doctorate,Married,Blue,$40K - $60K,2548.0
48,799723908,Existing Customer,46,M,High School,Married,Blue,$80K - $120K,19458.0
49,771490833,Existing Customer,52,M,College,Single,Blue,$80K - $120K,4745.0
50,720756708,Existing Customer,52,F,Unknown,Married,Blue,Less than $40K,2622.0
51,779471883,Attrited Customer,54,F,Graduate,Married,Blue,Less than $40K,1438.3
52,711525033,Existing Customer,66,F,High School,Married,Blue,Less than $40K,3171.0
53,712813458,Existing Customer,49,M,Unknown,Married,Blue,$120K +,19763.0
54,714374133,Attrited Customer,56,M,Graduate,Married,Blue,$120K +,15769.0
55,717891558,Existing Customer,49,F,Graduate,Unknown,Blue,Less than $40K,3298.0
56,716632758,Existing Customer,49,F,Graduate,Single,Blue,Less than $40K,2802.0
57,768563658,Existing Customer,56,M,Uneducated,Married,Blue,$40K - $60K,4458.0
58,711427458,Existing Customer,44,F,Graduate,Married,Blue,Unknown,6273.0
59,714091983,Existing Customer,42,M,High School,Single,Blue,$60K - $80K,3336.0
60,787584108,Existing Customer,55,M,Unknown,Married,Blue,$80K - $120K,3436.0
61,712030833,Attrited Customer,48,M,Graduate,Married,Silver,$60K - $80K,34516.0
62,711481533,Existing Customer,39,M,High School,Divorced,Blue,$60K - $80K,5926.0
63,710082708,Existing Customer,44,M,Post-Graduate,Single,Blue,$120K +,23957.0
64,708155733,Existing Customer,53,M,High School,Single,Blue,$120K +,14734.0
65,788979258,Existing Customer,51,M,Uneducated,Single,Silver,$80K - $120K,34516.0
66,807986133,Existing Customer,57,M,College,Married,Blue,$60K - $80K,6584.0
67,788730933,Existing Customer,44,F,Uneducated,Single,Blue,Less than $40K,2084.0
68,711314058,Existing Customer,49,M,Graduate,Married,Blue,$60K - $80K,1687.0
69,717975333,Existing Customer,50,M,Doctorate,Married,Blue,$80K - $120K,25300.0
70,715971108,Existing Customer,51,M,Graduate,Single,Blue,$120K +,34516.0
71,720096558,Existing Customer,55,F,Graduate,Married,Blue,Less than $40K,2216.0
72,719580033,Existing Customer,54,M,Graduate,Unknown,Blue,$60K - $80K,2910.0
73,820582308,Existing Customer,42,M,Uneducated,Married,Blue,$80K - $120K,22913.0
74,789973308,Existing Customer,44,M,College,Single,Blue,$60K - $80K,24312.0
75,712876233,Existing Customer,53,M,Graduate,Single,Blue,$80K - $120K,5272.0
76,804595158,Existing Customer,44,F,Graduate,Single,Blue,Less than $40K,7000.0
77,714826758,Existing Customer,37,F,Uneducated,Single,Blue,Less than $40K,7038.0
78,779058108,Existing Customer,49,M,Graduate,Divorced,Blue,$60K - $80K,2536.0
79,710790258,Existing Customer,47,M,Graduate,Married,Blue,$80K - $120K,28904.0
80,715623483,Existing Customer,47,M,Graduate,Married,Blue,$60K - $80K,8567.0
81,715156383,Existing Customer,44,M,Unknown,Unknown,Blue,$120K +,34516.0
82,711013983,Attrited Customer,55,F,Unknown,Married,Blue,$40K - $60K,2158.0
83,755420433,Existing Customer,59,F,Graduate,Married,Blue,Unknown,10133.0
84,794543958,Existing Customer,53,M,Graduate,Divorced,Blue,$80K - $120K,34516.0
